query_id,template_id,sql_text
Q27_V002,Q_0300,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_returnflag = 'R';
Q27_V003,Q_0301,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_returnflag = 'A';
Q27_V004,Q_0302,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_returnflag != 'N';
Q27_V005,Q_0303,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_discount > 0.05;
Q27_V006,Q_0304,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_discount <= 0.05;
Q27_V007,Q_0305,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_shipdate >= '1995-01-01' AND l_shipdate < '1996-01-01';
Q27_V008,Q_0306,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_shipdate < '1994-01-01';
Q27_V009,Q_0307,"SELECT l_shipmode, COUNT(*) AS lineitem_count FROM lineitem GROUP BY l_shipmode ORDER BY lineitem_count DESC;"
Q27_V010,Q_0308,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_linestatus = 'O';
Q27_V011,Q_0309,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_quantity >= 30;
Q27_V012,Q_0310,SELECT COUNT(*) AS total_lineitems FROM lineitem WHERE l_quantity < 10;
Q28_V001,Q_0311,SELECT DISTINCT o_orderstatus FROM orders;
Q28_V002,Q_0312,SELECT DISTINCT o_orderstatus FROM orders ORDER BY o_orderstatus;
Q28_V003,Q_0313,SELECT DISTINCT o_orderpriority FROM orders ORDER BY o_orderpriority;
Q28_V004,Q_0314,SELECT DISTINCT o_shippriority FROM orders;
Q28_V005,Q_0315,SELECT DISTINCT o_clerk FROM orders ORDER BY o_clerk LIMIT 20;
Q28_V006,Q_0316,"SELECT o_orderstatus, COUNT(*) AS cnt FROM orders GROUP BY o_orderstatus ORDER BY o_orderstatus;"
Q28_V007,Q_0317,SELECT DISTINCT o_orderstatus FROM orders WHERE o_totalprice > 50000;
Q28_V008,Q_0318,SELECT DISTINCT o_orderstatus FROM orders WHERE o_totalprice <= 50000;
Q28_V009,Q_0319,SELECT DISTINCT o_orderpriority FROM orders WHERE o_orderstatus = 'O';
Q28_V010,Q_0320,"SELECT DISTINCT o_orderstatus, o_shippriority FROM orders ORDER BY o_orderstatus;"
Q28_V011,Q_0321,SELECT DISTINCT o_orderstatus FROM orders WHERE o_orderdate >= '1996-01-01';
Q29_V001,Q_0322,SELECT DISTINCT l_shipmode FROM lineitem;
Q29_V002,Q_0323,SELECT DISTINCT l_shipmode FROM lineitem ORDER BY l_shipmode;
Q29_V003,Q_0324,SELECT DISTINCT l_shipinstruct FROM lineitem ORDER BY l_shipinstruct;
Q29_V004,Q_0325,"SELECT DISTINCT l_returnflag, l_linestatus FROM lineitem ORDER BY l_returnflag;"
Q29_V005,Q_0326,"SELECT l_shipmode, COUNT(*) AS cnt FROM lineitem GROUP BY l_shipmode ORDER BY cnt DESC;"
Q29_V006,Q_0327,SELECT DISTINCT l_shipmode FROM lineitem WHERE l_returnflag = 'R';
Q29_V007,Q_0328,SELECT DISTINCT l_shipmode FROM lineitem WHERE l_discount > 0.05;
Q29_V008,Q_0329,SELECT DISTINCT l_shipmode FROM lineitem WHERE l_shipdate >= '1995-01-01' AND l_shipdate < '1996-01-01';
Q29_V009,Q_0330,SELECT DISTINCT l_shipmode FROM lineitem WHERE l_quantity >= 20;
Q29_V010,Q_0331,SELECT DISTINCT l_shipmode FROM lineitem WHERE l_linestatus = 'O';
Q29_V011,Q_0332,SELECT DISTINCT l_shipmode FROM lineitem WHERE l_tax > 0.05;
Q29_V012,Q_0333,SELECT DISTINCT l_shipmode FROM lineitem WHERE l_discount <= 0.04;
Q30_V001,Q_0334,SELECT DISTINCT l_returnflag FROM lineitem;
Q30_V002,Q_0335,SELECT DISTINCT l_returnflag FROM lineitem ORDER BY l_returnflag;
Q30_V003,Q_0336,SELECT DISTINCT l_linestatus FROM lineitem ORDER BY l_linestatus;
Q30_V004,Q_0337,"SELECT DISTINCT l_returnflag, l_linestatus FROM lineitem ORDER BY l_returnflag, l_linestatus;"
Q30_V005,Q_0338,"SELECT l_returnflag, COUNT(*) AS cnt FROM lineitem GROUP BY l_returnflag ORDER BY cnt DESC;"
Q30_V006,Q_0339,SELECT DISTINCT l_returnflag FROM lineitem WHERE l_shipdate <= '1998-09-01';
Q30_V007,Q_0340,SELECT DISTINCT l_returnflag FROM lineitem WHERE l_discount > 0.06;
Q30_V008,Q_0341,SELECT DISTINCT l_returnflag FROM lineitem WHERE l_quantity >= 25;
Q30_V009,Q_0342,SELECT DISTINCT l_returnflag FROM lineitem WHERE l_shipmode = 'MAIL';
Q30_V010,Q_0343,SELECT DISTINCT l_returnflag FROM lineitem WHERE l_shipdate >= '1997-01-01';
Q30_V011,Q_0344,"SELECT l_returnflag, l_linestatus, COUNT(*) AS cnt FROM lineitem GROUP BY l_returnflag, l_linestatus ORDER BY l_returnflag;"
Q31_V001,Q_0345,"SELECT p_type, COUNT(*) AS part_count FROM part GROUP BY p_type ORDER BY part_count DESC;"
Q31_V002,Q_0346,"SELECT p_type, COUNT(*) AS part_count FROM part GROUP BY p_type ORDER BY p_type ASC;"
Q31_V003,Q_0347,"SELECT p_brand, COUNT(*) AS part_count FROM part GROUP BY p_brand ORDER BY part_count DESC;"
Q31_V004,Q_0348,"SELECT p_mfgr, COUNT(*) AS part_count FROM part GROUP BY p_mfgr ORDER BY part_count DESC;"
Q31_V005,Q_0349,"SELECT p_type, COUNT(*) AS part_count FROM part GROUP BY p_type HAVING COUNT(*) > 100 ORDER BY part_count DESC;"
Q31_V006,Q_0350,"SELECT p_type, COUNT(*) AS part_count FROM part GROUP BY p_type HAVING COUNT(*) <= 100 ORDER BY part_count DESC;"
Q31_V007,Q_0351,"SELECT p_type, COUNT(*) AS part_count FROM part WHERE p_retailprice > 1000 GROUP BY p_type ORDER BY part_count DESC;"
Q31_V008,Q_0352,"SELECT p_type, COUNT(*) AS part_count FROM part WHERE p_retailprice <= 1000 GROUP BY p_type ORDER BY part_count DESC;"
Q31_V009,Q_0353,"SELECT p_type, AVG(p_retailprice) AS avg_price FROM part GROUP BY p_type ORDER BY avg_price DESC;"
Q31_V010,Q_0354,"SELECT p_type, SUM(p_retailprice) AS total_price FROM part GROUP BY p_type ORDER BY total_price DESC;"
Q31_V011,Q_0355,"SELECT p_type, MIN(p_retailprice) AS min_price, MAX(p_retailprice) AS max_price FROM part GROUP BY p_type ORDER BY p_type;"
Q31_V012,Q_0356,"SELECT p_size, COUNT(*) AS part_count FROM part GROUP BY p_size ORDER BY part_count DESC LIMIT 10;"
Q32_V001,Q_0357,SELECT AVG(c_acctbal) AS avg_balance FROM customer;
