query_id,template_id,sql_text
Q001,Q01,"SELECT COUNT(*) FROM customer"
Q002,Q01,"SELECT COUNT(*) FROM orders"
Q003,Q02,"SELECT c_custkey,c_name FROM customer WHERE c_acctbal > 1000"
Q004,Q02,"SELECT o_orderkey,o_totalprice FROM orders WHERE o_totalprice > 50000"
Q005,Q03,"SELECT c_nationkey,COUNT(*) FROM customer GROUP BY c_nationkey"
Q006,Q03,"SELECT o_orderstatus,COUNT(*) FROM orders GROUP BY o_orderstatus"
Q007,Q04,"SELECT * FROM customer ORDER BY c_acctbal DESC"
Q008,Q04,"SELECT * FROM orders ORDER BY o_totalprice DESC"
Q009,Q05,"SELECT COUNT(DISTINCT c_nationkey) FROM customer"
Q010,Q05,"SELECT COUNT(DISTINCT o_orderstatus) FROM orders"
Q011,Q06,"SELECT c.c_name,o.o_orderkey FROM customer c JOIN orders o ON c.c_custkey=o.o_custkey"
Q012,Q06,"SELECT c.c_name,o.o_totalprice FROM customer c JOIN orders o ON c.c_custkey=o.o_custkey WHERE o.o_totalprice>10000"
Q013,Q07,"SELECT c.c_name,SUM(o.o_totalprice) FROM customer c JOIN orders o ON c.c_custkey=o.o_custkey GROUP BY c.c_name"
Q014,Q07,"SELECT c.c_nationkey,AVG(o.o_totalprice) FROM customer c JOIN orders o ON c.c_custkey=o.o_custkey GROUP BY c.c_nationkey"
Q015,Q08,"SELECT * FROM orders WHERE o_totalprice > (SELECT AVG(o_totalprice) FROM orders)"
Q016,Q08,"SELECT * FROM customer WHERE c_acctbal > (SELECT AVG(c_acctbal) FROM customer)"
Q017,Q09,"SELECT c.c_name,o.o_orderkey,l.l_quantity FROM customer c JOIN orders o ON c.c_custkey=o.o_custkey JOIN lineitem l ON o.o_orderkey=l.l_orderkey"
Q018,Q09,"SELECT c.c_name,SUM(l.l_extendedprice) FROM customer c JOIN orders o ON c.c_custkey=o.o_custkey JOIN lineitem l ON o.o_orderkey=l.l_orderkey GROUP BY c.c_name"
Q019,Q10,"SELECT * FROM lineitem WHERE l_quantity > 20 AND l_discount < 0.05"
Q020,Q10,"SELECT * FROM lineitem WHERE l_shipdate > DATE '1995-01-01'"
